Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.3285,0.112680498,149.69916063965655,145.5098226738824,5.010245528783347e-08,165.03166374123379,2.0177078719145763e-08,0.0019317743581268583,1.6944644214874354e-12,0.002194333901435052,7.703264687662461e-13,0.0010824890705990815,2.5346827688574994e-14,0.000961001471775553,3.764552252006081e-14
0.3255,0.111651452,149.69969467696254,145.6223560437715,4.821464231660287e-08,165.05529135936098,1.904781740778388e-08,0.0019331573371776962,1.6009826095474824e-12,0.0021948295078314814,7.229657655691661e-13,0.001082280487206278,2.688730676765304e-14,0.000960921624364704,3.511649795027689e-14
0.3225,0.110622407,149.70030329191744,145.6961625355084,5.5498565528297245e-08,165.07439405554595,1.6897489211683727e-08,0.001934020194235736,1.9292676238891063e-12,0.0021951894709217566,6.985322738216688e-13,0.0010820985452753284,3.287096717269086e-14,0.000960851508823196,3.289295713445313e-14
0.3195,0.109593361,149.70092526656418,145.67525339491831,5.3108607085282764e-08,165.0925828663304,1.835022893345933e-08,0.0019335608451623752,1.7340622769681816e-12,0.002195484871104803,7.107550002686472e-13,0.0010818770929352883,2.478755976302814e-14,0.0009607793324243313,3.3089495756743636e-14
0.3165,0.108564315,149.7009965030207,154.87811760042712,4.7189029301369676e-08,165.10658253379188,2.0955838829811656e-08,0.0020523224614012654,1.613284248395433e-12,0.002196222749389956,8.380580279318056e-13,0.0010840697945973922,2.8578661805028973e-14,0.000960762791012854,3.962247651436571e-14
0.3135,0.10753527,149.7015907884239,154.91014425577876,4.8089377582588426e-08,165.12317933664912,2.107941652071018e-08,0.0020525457387128875,1.5647451255135356e-12,0.0021965795076533453,8.657018631924518e-13,0.0010839454092134884,2.8099788555539653e-14,0.0009607080617989311,3.633782932524974e-14
0.3105,0.106506224,149.70247215232914,155.3123614429712,4.421205518744627e-08,165.13720153100437,2.123759521199488e-08,0.0020593422181480157,1.5692795722612659e-12,0.002196771673012266,8.493695509556484e-13,0.001082006762012248,2.8202645258343663e-14,0.000960642539506236,4.004003969216213e-14
0.3075,0.105477178,149.6988300850308,150.6730655071396,5.570087015805916e-08,165.01624283359251,1.6571819195528165e-08,0.002014476478286634,1.8135802054575072e-12,0.002193599091300161,6.306492108789255e-13,0.0010879202775171232,2.761038545906711e-14,0.0009609214499832011,3.086010311882071e-14
0.3045,0.104448133,149.69950430008416,151.00403384659947,4.8340510991569894e-08,165.03601612244663,1.6577125466344733e-08,0.0020197925458640673,1.5228496844863701e-12,0.002194127664972163,6.750423175287969e-13,0.0010865013368322005,2.1457410248558358e-14,0.0009608475452529087,3.4604498705696226e-14
0.3015,0.103419087,149.7001931138126,150.87938247583176,4.698376224449886e-08,165.0515343924149,1.6731050181443502e-08,0.002017583282948615,1.5678948701671608e-12,0.002194307530260573,6.877257277057546e-13,0.0010861727192703942,2.1833079281044147e-14,0.0009607800664596275,3.12556609428035e-14
0.2985,0.102390041,149.70086136245092,150.81021413261394,5.302756950456771e-08,165.0621970489188,1.8661254511403867e-08,0.0020163786517210062,1.7848263223564393e-12,0.002194428949971519,7.446096088022202e-13,0.001086179077879256,2.8749638431439615e-14,0.0009607261461152886,3.563199063408495e-14
0.2955,0.101360996,149.7014402011865,151.3008997546473,4.609898982652347e-08,165.0720771529739,2.041161391949116e-08,0.0020235118515440254,1.5188862585502122e-12,0.002194279867504344,8.176561149689817e-13,0.0010861736502732287,2.3545489923772013e-14,0.000960670903232701,3.747596720056882e-14
0.2895,0.099302905,149.70260366227186,150.2292749916753,5.000234463029024e-08,165.10039316641254,1.834362289359514e-08,0.002007321612864237,1.5956218362770588e-12,0.00219490004691853,7.213935393201664e-13,0.001087009667473117,2.1000110155431077e-14,0.0009605649325883152,3.388157209876551e-14
0.2865,0.098273859,149.70313518098905,151.25462330146144,4.7640111849384834e-08,165.10940972595174,1.5550569090222604e-08,0.0020259125508702066,1.5901776725116938e-12,0.0021949053347092248,6.267071466588743e-13,0.0010851233072067944,2.6564303340385025e-14,0.0009605108680563586,3.076679957156737e-14
